Country,City_ID,Population
EG,348112,47998
EG,349114,54676
EG,349156,56872
EG,349715,54980
EG,349717,90465
EG,350203,64481
EG,350370,42708
EG,350376,23842
EG,350422,60181
EG,350550,235362
EG,350789,100495
EG,351434,41184
EG,352344,56951
EG,352354,83651
EG,352628,45215
EG,352679,45798
EG,352733,62042
EG,352913,78744
EG,352951,142504
EG,353219,41930
EG,353802,59787
EG,353828,36751
EG,354105,34967
EG,354365,73725
EG,354502,143970
EG,354775,267370
EG,354981,47821
EG,355026,128250
EG,355392,37953
EG,355420,45269
EG,355449,69335
EG,355628,105599
EG,355648,51173
EG,355795,230000
EG,355939,43432
EG,356000,85352
EG,356806,63310
EG,356933,53851
EG,356945,58284
EG,356989,62821
EG,358048,76839
EG,358095,51841
EG,358108,102037
EG,358115,54197
EG,358172,137542
EG,358269,67788
EG,358274,40609
EG,358448,227943
EG,358600,86608
EG,358619,538378
EG,358620,32944
EG,358821,103596
EG,358840,129211
EG,358970,55523
EG,359173,189624
EG,359212,58153
EG,359280,167029
EG,359493,285097
EG,359576,63862
EG,359710,51569
EG,359783,420585
EG,359792,241261
EG,359796,488125
EG,359900,38213
EG,359953,48060
EG,360048,82507
EG,360464,37453
EG,360502,422407
EG,360526,68394
EG,360531,24653
EG,360542,61730
EG,360612,42912
EG,360615,56302
EG,360630,7734614
EG,360686,227150
EG,360716,99357
EG,360754,67486
EG,360761,420195
EG,360773,61134
EG,360829,431052
EG,360928,62434
EG,360995,2443203
EG,361029,68381
EG,361055,284813
EG,361058,3811516
EG,361103,34638
EG,361179,106841
EG,361213,45798
EG,361291,95622
EG,361320,306393
EG,361329,63793
EG,361394,20000
EG,361435,48801
EG,361457,36633
EG,361478,44132
EG,361495,34796
EG,361546,128855
EG,361661,99446
EG,361702,34692
EG,361827,40386
EG,362004,71257
EG,362277,61182
EG,362485,100684
EG,362882,41302
EG,362973,68749
AL,363243,15147
SD,363533,28687
SS,363619,40382
SS,363656,40382
SS,363885,127384
SD,364103,332714
SS,364367,38745
SD,364706,55742
SD,365137,1200000
SS,365742,20048
SS,365763,17338
SD,366323,22250
SD,366426,27275
SD,366847,44626
SD,367308,53568
SD,367544,28570
SD,367644,130122
SS,367927,32083
SD,368277,135281
SS,370737,160765
SD,370838,28727
